voucher_id,haul,strata,tax,tax_phylum,tax_class,tax_order,tax_family,tax_genus,tax_species,pre_taxid,gb_coi,bold_coi,gb_16s,blast_coi_id,blast_coi_ap,bold_coi_id,bold_coi_ap,blast_16s_id,blast_16s_ap,rev_tax,final_tax_phylum,final_tax_class,final_tax_order,final_tax_family,final_tax_genus,final_tax,final_taxid,bin,bin_congruence,evidence,accession_coi,accession_16s,bold_process_id
FC-22-011-23,11,31,Polychaeta,Annelida,Polychaeta,NA,NA,NA,NA,6341,LTR,LTR,LTR,Eunice antarctica,"98,25",Eunice pennatta,"98,62",Eunice antarctica,"99,04",Eunicidae,Annelida,Polychaeta,Eunicida,Eunicidae,NA,Eunicidae sp. MPL-2024,3384860,BOLD:AAY3500,multiple,morphological,OZ240309,OZ238555,VMEFC062-25
FC-22-011-24,11,31,Ophiuroidea,Echinodermata,Ophiuroidea,NA,NA,NA,NA,7618,LTR,LTR,LTR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC-22-012-01,12,31,Colossendeis colossea,Arthropoda,Pycnogonida,Pantopoda,Colossendeidae,Colossendeis,Colossendeis colossea,424463,1,1,1,Colossendeis angusta,"99,69",Colossendeis angusta,"99,69",Decolopoda australis,"96,67",Colossendeis angusta,Arthropoda,Pycnogonida,Pantopoda,Colossendeidae,Colossendeis,Colossendeis angusta,619817,BOLD:AAN2714,multiple,multiple,OZ240310,OZ238556,VMEFC063-25
FC-22-012-02,12,31,Gnathophausia zoea,Arthropoda,Malacostraca,Lophogastrida,Gnathophausiidae,Gnathophausia,Gnathophausia zoea,314074,1,1,1,Gnathophausia zoea,"99,66",Gnathophausia zoea,"99,51",NA,NA,NA,Arthropoda,Malacostraca,Lophogastrida,Gnathophausiidae,Gnathophausia,Gnathophausia zoea,314074,BOLD:AAD5774,multiple,multiple,OZ240311,NA,VMEFC064-25
FC-22-012-03,12,31,Stereomastis nana,Arthropoda,Malacostraca,Decapoda,Polychelidae,Stereomastis,Stereomastis nana,1129396,1,1,0,Stereomastis nana,"99,47",Stereomastis nana,"99,47",Stereomastis panglao,"94,96",NA,Arthropoda,Malacostraca,Decapoda,Polychelidae,Stereomastis,Stereomastis nana,1129396,BOLD:AAI0100,concordant,multiple,OZ240312,OZ238557,VMEFC065-25
FC-22-012-04,12,31,Phormosoma placenta,Echinodermata,Echinoidea,Echinothurioida,Phormosomatidae,Phormosoma,Phormosoma placenta,3258253,0,0,0,Caenopedina pulchella,"99,01",Phormosoma rigidum,"99,5",Caenopedina pulchella,"99,61",NA,Echinodermata,Echinoidea,Echinothurioida,Phormosomatidae,Phormosoma,Phormosoma placenta,3258253,BOLD:AAE0357,concordant,morphological,OZ240313,OZ238558,VMEFC066-25
FC-22-012-05,12,31,Hippasteria phrygiana,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Hippasteria,Hippasteria phrygiana,1277726,1,1,0,Hyppasteria phrygiana,100,Hyppasteria phrygiana,100,Hippasteria phrygiana,"99,83",NA,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Hippasteria,Hippasteria phrygiana,1277726,BOLD:AAE4144,concordant,multiple,OZ240314,OZ238559,VMEFC067-25
FC-22-012-06,12,31,Echinothuriidae,Echinodermata,Echinoidea,Echinothurioida,Echinothuriidae,NA,NA,41370,LTR,LTR,LTR,Hygrosoma sp.,"99,19",Hygrosoma sp.,99,Hygrosoma sp.,"99,4",Hygrosoma petersii,Echinodermata,Echinoidea,Echinothurioida,Echinothuriidae,Hygrosoma,Hygrosoma petersii,3252947,BOLD:AAI2272,concordant,morphological,OZ240315,OZ238560,VMEFC068-25
FC-22-012-07,12,31,Echinothuriidae,Echinodermata,Echinoidea,Echinothurioida,Echinothuriidae,NA,NA,41370,LTR,LTR,LTR,Hygrosoma sp.,"98,02",Hygrosoma sp.,"99,01",Hygrosoma sp.,"99,4",Hygrosoma petersii,Echinodermata,Echinoidea,Echinothurioida,Echinothuriidae,Hygrosoma,Hygrosoma petersii,3252947,BOLD:AAI2272,concordant,morphological,OZ240316,OZ238561,VMEFC069-25
FC-22-014-01,14,23,Stereomastis sculpta,Arthropoda,Malacostraca,Decapoda,Polychelidae,Stereomastis,Stereomastis sculpta,1522709,1,1,1,Stereomastis sculpta,"99,85",Stereomastis sculpta,"99,85",Stereomastis sculpta,"99,7",NA,Arthropoda,Malacostraca,Decapoda,Polychelidae,Stereomastis,Stereomastis sculpta,1522709,BOLD:AAL0092,concordant,multiple,OZ240317,OZ238562,VMEFC070-25
FC-22-014-02,14,23,Stereomastis nana,Arthropoda,Malacostraca,Decapoda,Polychelidae,Stereomastis,Stereomastis nana,1129396,1,1,0,Stereomastis nana,100,Stereomastis nana,"99,32",Polycheles typhlops,"94,04",NA,Arthropoda,Malacostraca,Decapoda,Polychelidae,Stereomastis,Stereomastis nana,1129396,BOLD:AAI0100,concordant,multiple,OZ240318,OZ238563,VMEFC071-25
FC-22-014-03,14,23,Zoroaster fulgens,Echinodermata,Asteroidea,Forcipulatida,Zoroasteridae,Zoroaster,Zoroaster fulgens,231629,1,0,1,Zoroaster ophiactis ,"97,26",No match,NA,Zoroaster ophiactis,"99,83",NA,Echinodermata,Asteroidea,Forcipulatida,Zoroasteridae,Zoroaster,Zoroaster fulgens,231629,BOLD:AHI8260,concordant,multiple,OZ240319,OZ238564,VMEFC072-25
FC-22-014-04,14,23,Zoroaster fulgens,Echinodermata,Asteroidea,Forcipulatida,Zoroasteridae,Zoroaster,Zoroaster fulgens,231629,1,0,1,Zoroaster ophiactis ,"97,42",No match,NA,Zoroaster ophiactis,"99,83",NA,Echinodermata,Asteroidea,Forcipulatida,Zoroasteridae,Zoroaster,Zoroaster fulgens,231629,BOLD:AHI8260,concordant,multiple,OZ240320,OZ238565,VMEFC073-25
FC-22-014-05,14,23,Stauroteuthis syrtensis,Mollusca,Cephalopoda,Octopoda,Stauroteuthidae,Stauroteuthis,Stauroteuthis syrtensis,61746,1,1,1,Stauroteuthis syrtensis,"99,5",Stauroteuthis syrtensis,"99,5",Stauroteuthis syrtensis,"99,79",NA,Mollusca,Cephalopoda,Octopoda,Stauroteuthidae,Stauroteuthis,Stauroteuthis syrtensis,61746,BOLD:AAJ5099,concordant,genetic,OZ240321,OZ238566,VMEFC074-25
FC-22-015-01,15,23,Stephanauge nexilis,Cnidaria,Hexacorallia,Actiniaria,Amphianthidae,Stephanauge,Stephanauge nexilis,1460104,1,1,0,Stephanauge nexilis,100,Stephanauge nexilis,100,NA,NA,NA,Cnidaria,Hexacorallia,Actiniaria,Amphianthidae,Stephanauge,Stephanauge nexilis,1460104,BOLD:ABV1102,multiple,multiple,OZ240322,NA,VMEFC075-25
FC-22-015-02,15,23,Radicipes gracilis,Cnidaria,Octocorallia,Scleralcyonacea,Chrysogorgiidae,Radicipes,Radicipes gracilis,360004,1,1,0,Radicipes gracilis ,"99,68",Radicipes gracilis,"99,84",Radicipes sp.,"99,44",NA,Cnidaria,Octocorallia,Scleralcyonacea,Chrysogorgiidae,Radicipes,Radicipes gracilis,360004,BOLD:AAI8032,concordant,multiple,OZ240323,OZ238567,VMEFC076-25
FC-22-015-03,15,23,Radicipes gracilis,Cnidaria,Octocorallia,Scleralcyonacea,Chrysogorgiidae,Radicipes,Radicipes gracilis,360004,1,1,0,Radicipes gracilis ,100,Radicipes gracilis,100,Radicipes sp.,"99,83",NA,Cnidaria,Octocorallia,Scleralcyonacea,Chrysogorgiidae,Radicipes,Radicipes gracilis,360004,BOLD:AAI8032,concordant,multiple,OZ240324,OZ238568,VMEFC077-25
FC-22-015-04,15,23,Funiculina quadrangularis,Cnidaria,Octocorallia,Scleralcyonacea,Funiculinidae,Funiculina,Funiculina quadrangularis,68568,1,1,1,Funiculina quadrangularis,"99,69",Funiculina quadrangularis,"99,84",Funiculina quadrangularis,100,NA,Cnidaria,Octocorallia,Scleralcyonacea,Funiculinidae,Funiculina,Funiculina quadrangularis,68568,BOLD:ACH6793,concordant,multiple,OZ240325,OZ238569,VMEFC078-25
FC-22-017-01,17,21,Heteropolypus sp.,Cnidaria,Octocorallia,Scleralcyonacea,Coralliidae,Heteropolypus,NA,1826360,LTR,LTR,LTR,Anthomasthinae sp.,"99,2",Anthomastus ritteri,"99,84",Anthomastinae sp.,99,NA,Cnidaria,Octocorallia,Scleralcyonacea,Coralliidae,Heteropolypus,Heteropolypus sol,2931934,BOLD:AAD3482,concordant,biogeographic,OZ240326,OZ238570,VMEFC079-25
FC-22-017-02,17,21,Nephtheidae,Cnidaria,Octocorallia,Malacalcyonacea,Nephtheidae,NA,NA,51108,LTR,LTR,LTR,Muriceopsis flavida,"81,02",No match,NA,NA,NA,Pseudodrifa sp.,Cnidaria,Octocorallia,Malacalcyonacea,Capnellidae,Pseudodrifa,Pseudodrifa sp.,3097313,BOLD:ADG6013,multiple,morphological,OZ240327,NA,VMEFC080-25
FC-22-017-03,17,21,Notostomus sp.,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Notostomus,NA,2775902,LTR,LTR,LTR,Notostomus elegans,100,Notostomus elegans,100,Notostomus elegans,100,NA,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Notostomus,Notostomus elegans,1582874,BOLD:AAX5792,concordant,genetic,OZ240328,OZ238571,VMEFC081-25
FC-22-017-04,17,21,Henricia sp.,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia,NA,60577,LTR,LTR,LTR,NA,NA,NA,NA,Henricia sp. CLADE A,100,Henricia lisa ingolfi,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia,Henricia lisa ingolfi,3384885,NA,concordant,morphological,NA,OZ238572,VMEFC082-25
FC-22-017-05,17,21,Pontophilus norvegicus,Arthropoda,Malacostraca,Decapoda,Crangonidae,Pontophilus,Pontophilus norvegicus,587160,1,1,1,Pontophilus norvegicus,"99,14",Pontophilus norvegicus,"99,48",NA,NA,NA,Arthropoda,Malacostraca,Decapoda,Crangonidae,Pontophilus,Pontophilus norvegicus,587160,BOLD:AAF7822,concordant,multiple,OZ240329,NA,VMEFC083-25
FC-22-017-06,17,21,Mediaster bairdi,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster,Mediaster bairdi,655526,0,0,1,NA,NA,NA,NA,Mediaster bairdi,"99,66",NA,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster,Mediaster bairdi,655526,NA,concordant,multiple,NA,OZ238573,VMEFC084-25
FC-22-017-07,17,21,Psilaster andromeda,Echinodermata,Asteroidea,Paxillosida,Astropectinidae,Psilaster,Psilaster andromeda,1898583,1,1,0,Antalis entalis,"95,38",No match,NA,Antalis entalis,"99,18",Antalis entalis,Mollusca,Scaphopoda,Dentaliida,Dentaliidae,Antalis,Antalis entalis,211836,BOLD:AHJ6227,multiple,multiple,OZ240330,OZ238574,VMEFC085-25
FC-22-017-08,17,21,Actinostolidae,Cnidaria,Hexacorallia,Actiniaria,Actinostolidae,NA,NA,86589,LTR,LTR,LTR,Actinostola georgiana,100,Actinostola sp.,100,NA,NA,Actinostola callosa,Cnidaria,Hexacorallia,Actiniaria,Actinostolidae,Actinostola,Actinostola callosa,2887286,BOLD:AAP1192,multiple,multiple,OZ240331,NA,VMEFC086-25
FC-22-017-09,17,21,Hormathiidae,Cnidaria,Hexacorallia,Actiniaria,Hormathiidae,NA,NA,42824,LTR,LTR,LTR,Hormathiidae sp.,100,Actinauge abyssorum,100,NA,NA,Phelliactis sp.,Cnidaria,Hexacorallia,Actiniaria,Hormathiidae,Phelliactis,Phelliactis sp. MPL-2024,3384854,BOLD:AAE3706,concordant,morphological,OZ240332,NA,VMEFC087-25
FC-22-017-10,17,21,Hormathiidae,Cnidaria,Hexacorallia,Actiniaria,Hormathiidae,NA,NA,42824,LTR,LTR,LTR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC-22-017-11,17,21,Flabellum alabastrum,Cnidaria,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum alabastrum,2305781,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC-22-017-12,17,21,Flabellum alabastrum,Cnidaria,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum alabastrum,2305781,1,0,1,Flabellum (Ulocyathus) alabastrum,100,Flabellidae,"98,41",NA,NA,NA,Cnidaria,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Ulocyathus) alabastrum,2305781,NA,concordant,multiple,OZ240333,NA,VMEFC088-25
FC-22-017-13,17,21,Balticina finmarchica,Cnidaria,Octocorallia,Scleralcyonacea,Balticinidae,Balticina,Balticina finmarchica,2899797,1,0,1,Balticina finmarchica,"99,52",Balticina finmarchica,"99,51",NA,NA,NA,Cnidaria,Octocorallia,Scleralcyonacea,Balticinidae,Balticina,Balticina finmarchica,2899797,BOLD:ABX8941,concordant,multiple,OZ240334,NA,VMEFC089-25
FC-22-017-14,17,21,Stephanauge nexilis,Cnidaria,Hexacorallia,Actiniaria,Amphianthidae,Stephanauge,Stephanauge nexilis,1460104,1,1,0,Stephanauge nexilis,"99,84",Stephanauge nexilis,100,NA,NA,NA,Cnidaria,Hexacorallia,Actiniaria,Amphianthidae,Stephanauge,Stephanauge nexilis,1460104,BOLD:ABV1102,multiple,multiple,OZ240335,NA,VMEFC090-25
FC-22-018-01,18,21,Parapasiphae sulcatifrons,Arthropoda,Malacostraca,Decapoda,Pasiphaeidae,Parapasiphae,Parapasiphae sulcatifrons,342619,1,1,1,Parapasiphae sulcatifrons,"99,85",Parapasiphae sulcatifrons,"99,85",NA,NA,NA,Arthropoda,Malacostraca,Decapoda,Pasiphaeidae,Parapasiphae,Parapasiphae sulcatifrons,342619,BOLD:AAF7301,multiple,multiple,OZ240336,NA,VMEFC091-25
FC-22-018-02,18,21,Stereomastis nana,Arthropoda,Malacostraca,Decapoda,Polychelidae,Stereomastis,Stereomastis nana,1129396,1,1,0,Stereomastis nana,"99,83",Stereomastis nana,100,Stereomastis panglao,"95,55",NA,Arthropoda,Malacostraca,Decapoda,Polychelidae,Stereomastis,Stereomastis nana,1129396,BOLD:AAI0100,concordant,multiple,OZ240337,OZ238575,VMEFC092-25
FC-22-018-03,18,21,Pasiphaea tarda,Arthropoda,Malacostraca,Decapoda,Pasiphaeidae,Pasiphaea,Pasiphaea tarda,98099,1,1,0,Pasiphaea tarda,100,Pasiphaea tarda,"99,68",Pasiphaea merriami,"94,24",NA,Arthropoda,Malacostraca,Decapoda,Pasiphaeidae,Pasiphaea,Pasiphaea tarda,98099,BOLD:AAB9072,multiple,multiple,OZ240338,OZ238576,VMEFC093-25
FC-22-018-04,18,21,Pontophilus norvegicus,Arthropoda,Malacostraca,Decapoda,Crangonidae,Pontophilus,Pontophilus norvegicus,587160,1,1,1,Pontophilus norvegicus,"99,7",Pontophilus norvegicus,"99,69",Pontophilus norvegicus,100,NA,Arthropoda,Malacostraca,Decapoda,Crangonidae,Pontophilus,Pontophilus norvegicus,587160,BOLD:AAF7822,concordant,multiple,OZ240339,OZ238577,VMEFC094-25
FC-22-018-05,18,21,Flabellum alabastrum,Cnidaria,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum alabastrum,2305781,1,0,1,Flabellum (Ulocyathus) alabastrum,100,Flabellum apertum,"99,48",NA,NA,NA,Cnidaria,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Ulocyathus) alabastrum,2305781,BOLD:ACH4038,concordant,multiple,OZ240340,NA,VMEFC095-25
FC-22-018-06,18,21,Nephtheidae,Cnidaria,Octocorallia,Malacalcyonacea,Nephtheidae,NA,NA,51108,LTR,LTR,LTR,NA,NA,NA,NA,Metallogorgia melanotrichos,"75,47",NA,Cnidaria,Octocorallia,Malacalcyonacea,Capnellidae,Duva,Duva florida,2931940,NA,concordant,morphological,NA,OZ238578,VMEFC096-25
FC-22-018-07,18,21,Mediaster bairdi,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster,Mediaster bairdi,655526,0,0,1,Mediaster aequalis,"96,4",No match,NA,Mediaster bairdi,"99,83",NA,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster,Mediaster bairdi,655526,BOLD:AFR6324,concordant,multiple,OZ240341,OZ238579,VMEFC097-25
FC-22-018-08,18,21,Stryphnus sp.,Porifera,Demospongiae,Tetractinellida,Ancorinidae,Stryphnus,NA,77190,LTR,LTR,LTR,Stryphnus fortis,"99,7",Stryphnus ponderosus ,"99,69",Geodia barretti,"93,21",Stryphnus fortis,Porifera,Demospongiae,Tetractinellida,Ancorinidae,Stryphnus,Stryphnus fortis,1006811,BOLD:ACB4853,concordant,multiple,OZ240342,OZ238580,VMEFC098-25
FC-22-018-09,18,21,Geodia phlegraei,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia phlegraei,521093,1,1,0,Geodia phlegraei,100,Geodia phlegraei,100,Geodia barretti,"94,85",NA,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia phlegraei,521093,BOLD:AAY1449,multiple,multiple,OZ240343,OZ238581,VMEFC099-25
FC-22-018-10,18,21,Geodia phlegraei,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia phlegraei,521093,1,1,0,Geodia parva,100,Geodia phlegraei,100,Geodia barretti,"94,93",Geodia cf. parva,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia cf. parva MPL-2024,3384881,BOLD:AAY1449,concordant,morphological,OZ240344,OZ238582,VMEFC100-25
FC-22-018-11,18,21,Geodia phlegraei,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia phlegraei,521093,1,1,0,Geodia parva,100,Geodia phlegraei,100,Geodia barretti,"94,81",Geodia cf. parva,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia cf. parva MPL-2024,3384881,BOLD:AAY1449,concordant,morphological,OZ240345,OZ238583,VMEFC101-25
FC-22-018-12,18,21,Hormathiidae,Cnidaria,Hexacorallia,Actiniaria,Hormathiidae,NA,NA,42824,LTR,LTR,LTR,Paraphelliactis xishaensis,100,Actinauge abyssorum,"99,85",NA,NA,Phelliactis sp.,Cnidaria,Hexacorallia,Actiniaria,Hormathiidae,Phelliactis,Phelliactis sp. MPL-2024,3384854,BOLD:AAE3706,concordant,morphological,OZ240346,NA,VMEFC102-25
FC-22-018-13,18,21,Histioteuthis bonnellii,Mollusca,Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis,Histioteuthis bonnellii,2816407,1,0,1,Histioteuthis bonnellii,"99,7",Histioteuthis bonnellii,100,Histioteuthis bonnellii,100,NA,Mollusca,Cephalopoda,Oegopsida,Histioteuthidae,Histioteuthis,Histioteuthis bonnellii,2816407,BOLD:AAX1286,concordant,multiple,OZ240347,OZ238584,VMEFC103-25
FC-22-019-01,19,22,Cirroteuthidae,Mollusca,Cephalopoda,Octopoda,Cirroteuthidae,NA,NA,61700,LTR,LTR,LTR,Stauroteuthis syrtensis,"99,7",Stauroteuthis syrtensis,"99,69",Stauroteuthis syrtensis,"99,8",NA,Mollusca,Cephalopoda,Octopoda,Stauroteuthidae,Stauroteuthis,Stauroteuthis syrtensis,61746,BOLD:AAJ5099,concordant,genetic,OZ240348,OZ238585,VMEFC104-25
FC-22-021-01,21,20,Stephanauge nexilis,Cnidaria,Hexacorallia,Actiniaria,Amphianthidae,Stephanauge,Stephanauge nexilis,1460104,1,1,0,Stephanauge nexilis,"99,85",Stephanauge sp.,100,NA,NA,NA,Cnidaria,Hexacorallia,Actiniaria,Amphianthidae,Stephanauge,Stephanauge nexilis,1460104,BOLD:ABV1102,multiple,multiple,OZ240349,NA,VMEFC105-25
FC-22-021-02,21,20,Flabellum alabastrum,Cnidaria,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum alabastrum,2305781,1,0,1,Flabellum (Ulocyathus) alabastrum,100,Flabellum apertum,"99,45",NA,NA,NA,Cnidaria,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Ulocyathus) alabastrum,2305781,BOLD:ACH4038,concordant,multiple,OZ240350,NA,VMEFC106-25
FC-22-021-03,21,20,Duva florida,Cnidaria,Octocorallia,Malacalcyonacea,Capnellidae,Duva,Duva florida,2931940,0,0,0,Sclerophytum lochmodes,"79,91",No match,NA,NA,NA,NA,Cnidaria,Octocorallia,Malacalcyonacea,Capnellidae,Duva,Duva florida,2931940,BOLD:ADG6011,concordant,morphological,OZ240351,NA,VMEFC107-25
FC-22-021-04,21,20,Gnathophausia zoea,Arthropoda,Malacostraca,Lophogastrida,Gnathophausiidae,Gnathophausia,Gnathophausia zoea,314074,1,1,1,Gnathophausia zoea,"98,64",Gnathophausia zoea,"99,51",NA,NA,NA,Arthropoda,Malacostraca,Lophogastrida,Gnathophausiidae,Gnathophausia,Gnathophausia zoea,314074,BOLD:ACF5205,multiple,multiple,OZ240352,NA,VMEFC108-25
FC-22-021-05,21,20,Sabinea hystrix,Arthropoda,Malacostraca,Decapoda,Crangonidae,Sabinea,Sabinea hystrix,1129393,1,1,0,Sabinea hystrix,"99,68",Sabinea hystrix,"99,7",NA,NA,NA,Arthropoda,Malacostraca,Decapoda,Crangonidae,Sabinea,Sabinea hystrix,1129393,BOLD:AAF1709,concordant,multiple,OZ240353,NA,VMEFC109-25
FC-22-021-06,21,20,Pasiphaea tarda,Arthropoda,Malacostraca,Decapoda,Pasiphaeidae,Pasiphaea,Pasiphaea tarda,98099,1,1,0,Pasiphaea tarda,100,Pasiphaea tarda,"99,17",Pasiphaea merriami,"94,24",NA,Arthropoda,Malacostraca,Decapoda,Pasiphaeidae,Pasiphaea,Pasiphaea tarda,98099,BOLD:AAB9072,multiple,multiple,OZ240354,OZ238586,VMEFC110-25
FC-22-021-07,21,20,Acanthephyra purpurea,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,Acanthephyra purpurea,576170,1,1,1,Acanthephyra pelagica,100,Acanthephyra pelagica,100,Acanthephyra pelagica ,"99,61",NA,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,Acanthephyra pelagica,342632,BOLD:AAC7822,multiple,genetic,OZ240355,OZ238587,VMEFC111-25
FC-22-021-08,21,20,Acanthephyra purpurea,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,Acanthephyra purpurea,576170,1,1,1,Acanthephyra pelagica,100,Acanthephyra pelagica,100,NA,NA,NA,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,Acanthephyra pelagica,342632,BOLD:AAC7822,multiple,genetic,OZ240356,NA,VMEFC112-25
FC-22-021-09,21,20,Atolla sp.,Cnidaria,Scyphozoa,Coronatae,Atollidae,Atolla,NA,86042,LTR,LTR,LTR,Atolla wyvillei,"98,91",Atolla sp.,"99,39",NA,NA,NA,Cnidaria,Scyphozoa,Coronatae,Atollidae,Atolla,Atolla sp. MPL-2024,3384849,BOLD:AAG4832,concordant,multiple,OZ240357,NA,VMEFC113-25
FC-22-021-10,21,20,Atolla sp.,Cnidaria,Scyphozoa,Coronatae,Atollidae,Atolla,NA,86042,LTR,LTR,LTR,Atolla wyvillei,"97,66",Atolla sp.,"98,32",NA,NA,NA,Cnidaria,Scyphozoa,Coronatae,Atollidae,Atolla,Atolla sp. MPL-2024,3384849,BOLD:AAG4832,concordant,multiple,OZ240358,NA,VMEFC114-25
FC-22-021-11,21,20,Periphylla periphylla,Cnidaria,Scyphozoa,Coronatae,Periphyllidae,Periphylla,Periphylla periphylla,880221,1,1,1,Periphylla periphylla,"99,84",Periphylla periphylla,"99,84",NA,NA,NA,Cnidaria,Scyphozoa,Coronatae,Periphyllidae,Periphylla,Periphylla periphylla,880221,BOLD:ACO7920,concordant,multiple,OZ240359,NA,VMEFC115-25
FC-22-021-12,21,20,Periphylla periphylla,Cnidaria,Scyphozoa,Coronatae,Periphyllidae,Periphylla,Periphylla periphylla,880221,1,1,1,Periphylla periphylla,"99,68",Periphylla periphylla,"99,84",NA,NA,NA,Cnidaria,Scyphozoa,Coronatae,Periphyllidae,Periphylla,Periphylla periphylla,880221,BOLD:ACO7920,concordant,multiple,OZ240360,NA,VMEFC116-25
FC-22-021-13,21,20,Periphylla periphylla,Cnidaria,Scyphozoa,Coronatae,Periphyllidae,Periphylla,Periphylla periphylla,880221,1,1,1,Periphylla periphylla,100,Periphylla periphylla,100,NA,NA,NA,Cnidaria,Scyphozoa,Coronatae,Periphyllidae,Periphylla,Periphylla periphylla,880221,BOLD:ACO7920,concordant,multiple,OZ240361,NA,VMEFC117-25
FC-22-027-01,27,28,Stauropathes arctica,Cnidaria,Hexacorallia,Antipatharia,Schizopathidae,Stauropathes,Stauropathes arctica,2666510,1,0,1,Stauropathes arctica,100,Stauropathes punctata,"99,69",NA,NA,NA,Cnidaria,Hexacorallia,Antipatharia,Schizopathidae,Stauropathes,Stauropathes arctica,2666510,BOLD:AHQ4462,concordant,multiple,OZ240362,NA,VMEFC118-25
FC-22-027-02,27,28,Pontophilus norvegicus,Arthropoda,Malacostraca,Decapoda,Crangonidae,Pontophilus,Pontophilus norvegicus,587160,1,1,1,NA,NA,NA,NA,Pontophilus norvegicus,"99,2",NA,Arthropoda,Malacostraca,Decapoda,Crangonidae,Pontophilus,Pontophilus norvegicus,587160,NA,concordant,multiple,NA,OZ238588,VMEFC119-25
FC-22-027-03,27,28,Flabellum alabastrum,Cnidaria,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum alabastrum,2305781,1,0,1,Flabellum (Ulocyathus) alabastrum,100,Flabellum apertum,"99,47",NA,NA,NA,Cnidaria,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Ulocyathus) alabastrum,2305781,BOLD:ACH4038,concordant,multiple,OZ240363,NA,VMEFC120-25
FC-22-027-04,27,28,Flabellum alabastrum,Cnidaria,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum alabastrum,2305781,1,0,1,Flabellum (Ulocyathus) alabastrum,100,Flabellum apertum,"99,5",NA,NA,NA,Cnidaria,Hexacorallia,Scleractinia,Flabellidae,Flabellum,Flabellum (Ulocyathus) alabastrum,2305781,BOLD:ACH4038,concordant,multiple,OZ240364,NA,VMEFC121-25
FC-22-027-05,27,28,Pterasteridae,Echinodermata,Asteroidea,Velatida,Pterasteridae,NA,NA,105871,LTR,LTR,LTR,NA,NA,NA,NA,Diplopteraster multipes,"99,2",NA,Echinodermata,Asteroidea,Velatida,Pterasteridae,Diplopteraster,Diplopteraster multipes,465783,NA,concordant,genetic,NA,OZ238589,VMEFC122-25
FC-22-027-06,27,28,Hormathiidae,Cnidaria,Hexacorallia,Actiniaria,Hormathiidae,NA,NA,42824,LTR,LTR,LTR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC-22-027-07,27,28,Asconema sp.,Porifera,Hexactinellida,Lyssacinosida,Rosellidae,Asconema,NA,1909189,LTR,LTR,LTR,Nodastrella nodastrella,"85,12",No match,NA,NA,NA,Asconema foliatum,Porifera,Hexactinellida,Lyssacinosida,Rosellidae,Asconema,Asconema foliatum,3115542,BOLD:ABV1894,concordant,morphological,OZ240365,NA,VMEFC123-25
